year,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40
1954,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1955,-0.03920525,-0.03920525,-0.03920525,-0.03920525,-0.04723600,-0.03626735,-0.02520545
1956,-0.04002803,-0.04002803,-0.04002803,-0.05228158,-0.04975233,-0.04285609,-0.03593307
1957,-0.13059781,-0.13953785,-0.14336929,-0.16205554,-0.15670066,-0.12238133,-0.08675958
1958,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00448572
1959,-0.03787565,-0.03787565,-0.03787565,-0.03787565,-0.04008123,-0.03463838,-0.02917959
1960,-0.03765009,-0.03765009,-0.03765009,-0.03765009,-0.06079540,-0.03806710,-0.02617392
1961,-0.01259570,-0.01259570,-0.01289106,-0.02617707,-0.01106999,-0.01073951,-0.01061474
1962,-0.18533908,-0.18385557,-0.18385557,-0.18455502,-0.20537846,-0.16486629,-0.12619948
1963,-0.01065086,-0.02033760,-0.02446766,-0.04547262,-0.01221494,-0.00902772,-0.00583333
1964,-0.01310044,-0.02602620,-0.03152679,-0.06049043,-0.01488374,-0.01128353,-0.00767398
1965,-0.03999995,-0.04986742,-0.05409633,-0.07626747,-0.04505488,-0.03499071,-0.02495680
1966,-0.13799355,-0.14934997,-0.15419397,-0.18326449,-0.15258125,-0.12134245,-0.09053714
1967,-0.03140882,-0.03260045,-0.03311114,-0.03723059,-0.02881734,-0.02710549,-0.02635169
1968,-0.05028301,-0.05049304,-0.05058313,-0.05058313,-0.05759834,-0.04842944,-0.03924837
1969,-0.10621084,-0.10334240,-0.10211565,-0.10211565,-0.11199464,-0.10030095,-0.09115826
1970,-0.11421817,-0.11421817,-0.11421817,-0.11421817,-0.15346471,-0.12104854,-0.10434201
1971,-0.05925780,-0.05925780,-0.05925780,-0.05925780,-0.08252827,-0.05790176,-0.03566755
1972,-0.01791681,-0.01791681,-0.02081691,-0.04649839,-0.01210210,-0.01234415,-0.01386601
1973,-0.14442496,-0.14442496,-0.14442496,-0.14442496,-0.17673316,-0.13758503,-0.09674411
1974,-0.15485082,-0.16009303,-0.16316611,-0.16316611,-0.28751793,-0.23523495,-0.18153514
1975,-0.06631128,-0.06631128,-0.06631128,-0.06631128,-0.07789278,-0.06436778,-0.05375671
1976,-0.02537210,-0.02537210,-0.02537210,-0.02537210,-0.03452934,-0.02228135,-0.01169813
1977,-0.06272220,-0.05984684,-0.05861292,-0.05861292,-0.07026200,-0.05181654,-0.03325386
1978,-0.06563950,-0.06011724,-0.05820801,-0.05820801,-0.08057732,-0.06730284,-0.05541123
1979,-0.03963575,-0.03963575,-0.03963575,-0.03963575,-0.03656976,-0.04453637,-0.05683307
1980,-0.04296642,-0.04296642,-0.04296642,-0.04296642,-0.09830913,-0.06884022,-0.06595366
1981,-0.10123316,-0.09774126,-0.09624326,-0.09624326,-0.10119169,-0.09585402,-0.10035179
1982,-0.08910878,-0.08910878,-0.08910878,-0.08910878,-0.08284540,-0.05537044,-0.05945307
1983,-0.05995757,-0.02647896,-0.02068758,-0.03841438,-0.02406188,-0.02125260,-0.03104836
1984,-0.07393855,-0.06935995,-0.06957600,-0.06957600,-0.07058409,-0.06905485,-0.07609316
1985,-0.02830823,-0.06232126,-0.07730431,-0.12489271,-0.03692657,-0.02107972,-0.01370143
1986,-0.04840721,-0.04468481,-0.04308949,-0.05894613,-0.02541860,-0.02669095,-0.02935758
1987,-0.16636976,-0.17115694,-0.17321063,-0.17321063,-0.26037362,-0.20839155,-0.15909705
1988,-0.04361259,-0.04361259,-0.04361259,-0.04361259,-0.03049104,-0.03200862,-0.03355592
1989,-0.01567545,-0.01567545,-0.01567545,-0.01567545,-0.01810514,-0.01135609,-0.00468452
1990,-0.11377159,-0.11377159,-0.11377159,-0.11377159,-0.13897587,-0.11145198,-0.08336570
1991,-0.01280919,-0.01280919,-0.01280919,-0.01280919,-0.00514002,-0.00374776,-0.00557388
1992,-0.04145317,-0.04145317,-0.04145317,-0.04145317,-0.01605545,-0.01441440,-0.01883633
1993,-0.02935030,-0.04600351,-0.06081851,-0.11172306,-0.03127230,-0.02416825,-0.02708375
1994,-0.08461245,-0.09957685,-0.10596092,-0.15317074,-0.06820436,-0.07012859,-0.07502572
1995,-0.01321221,-0.02063817,-0.02494281,-0.04692792,-0.01243993,-0.01422799,-0.01702532
1996,-0.05501053,-0.10217917,-0.12188239,-0.22352729,-0.06036958,-0.04898265,-0.04004574
1997,-0.08812064,-0.15010788,-0.17564991,-0.30435940,-0.09276660,-0.08197811,-0.07112994
1998,-0.15568738,-0.27500135,-0.32199857,-0.52891947,-0.17554022,-0.13510473,-0.09315515
1999,-0.10859235,-0.13016307,-0.15267379,-0.27129135,-0.11695502,-0.09641113,-0.07584824
2000,-0.10326364,-0.11680925,-0.13813027,-0.25311154,-0.14055151,-0.10125511,-0.07056348
2001,-0.09806002,-0.09806002,-0.09806002,-0.09806002,-0.27737772,-0.21460162,-0.14797995
2002,-0.04902898,-0.04902898,-0.04902898,-0.04902898,-0.30556386,-0.22898817,-0.14975387
2003,-0.09168050,-0.08988650,-0.08911717,-0.08911717,-0.10466355,-0.08022496,-0.05647043
2004,-0.10507261,-0.14108705,-0.15733726,-0.28032322,-0.07530477,-0.06169158,-0.05348104
2005,-0.05231961,-0.05100578,-0.05045133,-0.05045133,-0.06625650,-0.05156464,-0.03675703
2006,-0.05460322,-0.05460322,-0.05460322,-0.05847069,-0.06379477,-0.04860108,-0.03558092
2007,-0.04535510,-0.04535510,-0.04535510,-0.04535510,-0.07803954,-0.05233218,-0.03100835
2008,-0.12355670,-0.12408993,-0.12541231,-0.12541231,-0.43656026,-0.35388260,-0.26270341
2009,-0.23878774,-0.23878774,-0.23878774,-0.23878774,-0.25860592,-0.21468552,-0.16905010
