year,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40
1954,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1955,-0.03920525,-0.03920525,-0.03920525,-0.03920525,-0.04723600,-0.03626735,-0.02520545
1956,-0.04002803,-0.04002803,-0.04002803,-0.05228158,-0.04975233,-0.04285609,-0.03593307
1957,-0.13059781,-0.13953785,-0.14336929,-0.16205554,-0.15670066,-0.12238133,-0.08675958
1958,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00448572
1959,-0.03787565,-0.03787565,-0.03787565,-0.03787565,-0.04008123,-0.03463838,-0.02917959
1960,-0.03765009,-0.03765009,-0.03765009,-0.03765009,-0.06079540,-0.03806710,-0.02617392
1961,-0.01259570,-0.01259570,-0.01289106,-0.02617707,-0.01106999,-0.01073951,-0.01061474
1962,-0.18533908,-0.18385557,-0.18385557,-0.18455502,-0.20537846,-0.16486629,-0.12619948
1963,-0.01065086,-0.02033760,-0.02446766,-0.04547262,-0.01221494,-0.00902772,-0.00583333
1964,-0.01310044,-0.02602620,-0.03152679,-0.06049043,-0.01488374,-0.01128353,-0.00767398
1965,-0.03999995,-0.04986742,-0.05409633,-0.07626747,-0.04505488,-0.03499071,-0.02495680
1966,-0.13799355,-0.14934997,-0.15419397,-0.18326449,-0.15258125,-0.12134245,-0.09053714
1967,-0.03140882,-0.03260045,-0.03311114,-0.03723059,-0.02881734,-0.02710549,-0.02635169
1968,-0.05028301,-0.05049304,-0.05058313,-0.05058313,-0.05759834,-0.04842944,-0.03924837
1969,-0.10621084,-0.10334240,-0.10211565,-0.10211565,-0.11199464,-0.10030095,-0.09115826
1970,-0.11421817,-0.11421817,-0.11421817,-0.11421817,-0.15346471,-0.12104854,-0.10434201
1971,-0.05925780,-0.05925780,-0.05925780,-0.05925780,-0.08252827,-0.05790176,-0.03566755
1972,-0.01791681,-0.01791681,-0.02081691,-0.04649839,-0.01210210,-0.01234415,-0.01386601
1973,-0.14442496,-0.14442496,-0.14442496,-0.14442496,-0.17673316,-0.13758503,-0.09674411
1974,-0.15485082,-0.16009303,-0.16316611,-0.16316611,-0.28751793,-0.23523495,-0.18153514
1975,-0.06631128,-0.06631128,-0.06631128,-0.06631128,-0.07789278,-0.06436778,-0.05375671
1976,-0.02537210,-0.02537210,-0.02537210,-0.02537210,-0.03452934,-0.02228135,-0.01169813
1977,-0.06272220,-0.05984684,-0.05861292,-0.05861292,-0.07026200,-0.05181654,-0.03325386
1978,-0.06563950,-0.06011724,-0.05820801,-0.05820801,-0.08057732,-0.06730284,-0.05541123
1979,-0.03963575,-0.03963575,-0.03963575,-0.03963575,-0.03656976,-0.04453637,-0.05683307
1980,-0.04296642,-0.04296642,-0.04296642,-0.04296642,-0.09830913,-0.06884022,-0.06595366
1981,-0.10123316,-0.09774126,-0.09624326,-0.09624326,-0.10119169,-0.09585402,-0.10035179
1982,-0.08910878,-0.08910878,-0.08910878,-0.08910878,-0.08284540,-0.05537044,-0.05945307
1983,-0.05995757,-0.02647896,-0.02068758,-0.03841438,-0.02406188,-0.02125260,-0.03104836
1984,-0.07393855,-0.06935995,-0.06957600,-0.06957600,-0.07058409,-0.06905485,-0.07609316
1985,-0.02830823,-0.06232126,-0.07730431,-0.12489271,-0.03692657,-0.02107972,-0.01370143
1986,-0.04840721,-0.04468481,-0.04308949,-0.05894613,-0.02541860,-0.02669095,-0.02935758
1987,-0.16636976,-0.17115694,-0.17321063,-0.17321063,-0.26037362,-0.20839155,-0.15909705
1988,-0.04361259,-0.04361259,-0.04361259,-0.04361259,-0.03049104,-0.03200862,-0.03355592
1989,-0.01567545,-0.01567545,-0.01567545,-0.01567545,-0.01810514,-0.01135609,-0.00468452
1990,-0.11377159,-0.11377159,-0.11377159,-0.11377159,-0.13897587,-0.11145198,-0.08336570
1991,-0.01280919,-0.01280919,-0.01280919,-0.01280919,-0.00514002,-0.00374776,-0.00557388
1992,-0.04145317,-0.04145317,-0.04145317,-0.04145317,-0.01605545,-0.01441440,-0.01883633
1993,-0.02934998,-0.04600227,-0.06081696,-0.11172036,-0.03127146,-0.02416802,-0.02708357
1994,-0.08461292,-0.09957773,-0.10596198,-0.15317272,-0.06820490,-0.07012902,-0.07502588
1995,-0.01321189,-0.02064036,-0.02494541,-0.04693269,-0.01244129,-0.01422771,-0.01702511
1996,-0.05501061,-0.10217931,-0.12188256,-0.22352763,-0.06036966,-0.04898272,-0.04004568
1997,-0.08812061,-0.15010732,-0.17564914,-0.30435762,-0.09276656,-0.08197809,-0.07112992
1998,-0.15568779,-0.27500202,-0.32199933,-0.52892054,-0.17554067,-0.13510511,-0.09315545
1999,-0.10859364,-0.13016392,-0.15267464,-0.27129286,-0.11695645,-0.09641228,-0.07584912
2000,-0.10326347,-0.11680896,-0.13812997,-0.25311100,-0.14055139,-0.10125456,-0.07056331
2001,-0.09805989,-0.09805989,-0.09805989,-0.09805989,-0.27737722,-0.21460116,-0.14797957
2002,-0.04902897,-0.04902897,-0.04902897,-0.04902897,-0.30556405,-0.22898834,-0.14975381
2003,-0.09168021,-0.08988631,-0.08911702,-0.08911702,-0.10466351,-0.08022498,-0.05647044
2004,-0.10507253,-0.14108659,-0.15733666,-0.28032283,-0.07530469,-0.06169152,-0.05348104
2005,-0.05231927,-0.05100608,-0.05045172,-0.05045172,-0.06625603,-0.05156426,-0.03675675
2006,-0.05460326,-0.05460326,-0.05460326,-0.05847111,-0.06379477,-0.04860108,-0.03558087
2007,-0.04535519,-0.04535519,-0.04535519,-0.04535519,-0.07804033,-0.05233283,-0.03100843
2008,-0.12355642,-0.12408985,-0.12541218,-0.12541218,-0.43656031,-0.35388264,-0.26270344
2009,-0.23878763,-0.23878763,-0.23878763,-0.23878763,-0.25860584,-0.21468544,-0.16905003
