decade,portfolio,label,total_return,cagr,max_drawdown,volatility,sharpe_0rf
1950-1959,strategy,Strategia,1.19236303,0.15339737,-0.13059781,0.04165480,3.68258586
1950-1959,strategy_recommended_mix,Rekomendowany miks,1.35698841,0.16868038,-0.13953785,0.04704562,3.58546371
1950-1959,strategy_medium_aggressive,Srednio agresywna,1.43057115,0.17523031,-0.14336929,0.05023933,3.48791102
1950-1959,strategy_aggressive,Agresywna,1.82176133,0.20755244,-0.16205554,0.07044220,2.94642180
1950-1959,benchmark_100_equity,100% akcje,1.51405409,0.18246790,-0.15670066,0.04957873,3.68036663
1950-1959,benchmark_80_20,80/20,1.10111514,0.14451739,-0.12238133,0.03924804,3.68215582
1950-1959,benchmark_60_40,60/40,0.75429798,0.10758931,-0.08675958,0.03061410,3.51437154
1960-1969,strategy,Strategia,0.90143164,0.06634084,-0.19150406,0.04377897,1.51535867
1960-1969,strategy_recommended_mix,Rekomendowany miks,1.47852372,0.09497024,-0.19403865,0.05007171,1.89668476
1960-1969,strategy_medium_aggressive,Srednio agresywna,1.77496004,0.10740522,-0.19514685,0.05364660,2.00208817
1960-1969,strategy_aggressive,Agresywna,3.74963977,0.16852202,-0.19973409,0.07626008,2.20983275
1960-1969,benchmark_100_equity,100% akcje,1.11473581,0.07773402,-0.21239672,0.04982471,1.56014983
1960-1969,benchmark_80_20,80/20,0.91549882,0.06712679,-0.16960274,0.04070723,1.64901406
1960-1969,benchmark_60_40,60/40,0.73262939,0.05647756,-0.12619948,0.03323910,1.69913039
1970-1979,strategy,Strategia,0.64002057,0.05069259,-0.26984304,0.05196593,0.97549664
1970-1979,strategy_recommended_mix,Rekomendowany miks,0.77732475,0.05917059,-0.27346712,0.05276092,1.12148520
1970-1979,strategy_medium_aggressive,Srednio agresywna,0.83917839,0.06279861,-0.27502205,0.05356259,1.17243412
1970-1979,strategy_aggressive,Agresywna,1.01351708,0.07246328,-0.27502205,0.05765043,1.25694263
1970-1979,benchmark_100_equity,100% akcje,0.76449134,0.05840364,-0.39156829,0.06339488,0.92126742
1970-1979,benchmark_80_20,80/20,0.77068560,0.05877444,-0.32315878,0.05252309,1.11902104
1970-1979,benchmark_60_40,60/40,0.77214945,0.05886190,-0.24946166,0.04509508,1.30528444
1980-1989,strategy,Strategia,4.07278151,0.17623532,-0.16636976,0.08659743,2.03511031
1980-1989,strategy_recommended_mix,Rekomendowany miks,6.18749120,0.21792575,-0.17115694,0.08892022,2.45080088
1980-1989,strategy_medium_aggressive,Srednio agresywna,7.32432435,0.23593386,-0.17321063,0.09261617,2.54743698
1980-1989,strategy_aggressive,Agresywna,14.62740237,0.31624647,-0.17321063,0.11779463,2.68472742
1980-1989,benchmark_100_equity,100% akcje,3.91857863,0.17261148,-0.26037362,0.06266862,2.75435281
1980-1989,benchmark_80_20,80/20,3.57322047,0.16410929,-0.20839155,0.05829162,2.81531535
1980-1989,benchmark_60_40,60/40,3.22005416,0.15479488,-0.15909705,0.06623636,2.33700769
1990-1999,strategy,Strategia,3.85417142,0.17106752,-0.15568779,0.11159358,1.53295125
1990-1999,strategy_recommended_mix,Rekomendowany miks,6.88527343,0.22925793,-0.27500202,0.17096228,1.34098550
1990-1999,strategy_medium_aggressive,Srednio agresywna,8.56164331,0.25317289,-0.32199933,0.19866483,1.27437195
1990-1999,strategy_aggressive,Agresywna,19.28023944,0.35098637,-0.52892054,0.34923973,1.00500127
1990-1999,benchmark_100_equity,100% akcje,4.26252373,0.18056070,-0.17554067,0.12025827,1.50144097
1990-1999,benchmark_80_20,80/20,3.43963237,0.16066476,-0.13510511,0.10025574,1.60254928
1990-1999,benchmark_60_40,60/40,2.72278890,0.14041320,-0.09315545,0.08273556,1.69713230
2000-2009,strategy,Strategia,0.77527327,0.05916495,-0.25866696,0.12533698,0.47204705
2000-2009,strategy_recommended_mix,Rekomendowany miks,1.20700667,0.08250898,-0.26183972,0.15213317,0.54234705
2000-2009,strategy_medium_aggressive,Srednio agresywna,1.40435503,0.09183380,-0.26831602,0.16700966,0.54987118
2000-2009,strategy_aggressive,Agresywna,2.16569897,0.12233216,-0.28032283,0.25450379,0.48066930
2000-2009,benchmark_100_equity,100% akcje,-0.08789611,-0.00917151,-0.54613029,0.20057611,-0.04572582
2000-2009,benchmark_80_20,80/20,0.09523509,0.00915206,-0.44046541,0.15711015,0.05825251
2000-2009,benchmark_60_40,60/40,0.28678844,0.02557401,-0.31581391,0.11559996,0.22122851
2010-2019,strategy,Strategia,2.60331909,0.13670109,-0.13547233,0.12256603,1.11532611
2010-2019,strategy_recommended_mix,Rekomendowany miks,4.20703788,0.17931056,-0.19327271,0.17225744,1.04094519
