date,s1_equity,s2_equity,cycle_reentry_trigger,gdp_reentry_boost,soft_landing_reentry,soft_landing_regime,fixed_bond_mode,long_bond_share,gold_mode,bottom_tilt,fed_unemployment_bear_cross,cpi_yoy,real_10y,gdp_yoy,gdp_mom,sp_drawdown,unemployment_26w_change,shiller_fallback_stress,inflation_tightening_regime,stagflation_regime,confirmed_expansion_regime,oil_regime,oil_strong_regime,oil_momentum_26w,s3_equity,s3_bond,s3_raw_equity,s3_raw_bond,pe_branch,forward_pe_proxy
1954-07-02,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.043655905339337
1954-07-09,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.043655905339337
1954-07-16,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.043655905339337
1954-07-23,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.043655905339337
1954-07-30,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.043655905339337
1954-08-06,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.095055326107767
1954-08-13,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.146454746876197
1954-08-20,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.197854167644628
1954-08-27,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.249253588413058
1954-09-03,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.311501466536468
1954-09-10,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.37374934465988
1954-09-17,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.43599722278329
1954-09-24,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.498245100906699
1954-10-01,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,1.9569641469726173,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.513684058460651
1954-10-08,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.529123016014603
1954-10-15,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.544561973568557
1954-10-22,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.56000093112251
1954-10-29,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.56000093112251
1954-11-05,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.621703774524915
1954-11-12,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.68340661792732
1954-11-19,0.8,0.8,,False,False,False,False,0.0,False,True,False,,,,0.0,0.0,,False,False,False,False,False,False,,0.9,0.1,0.9,0.1,rising,11.745109461329726
